,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2018-07-05,1.0,1.0,,封闭期,封闭期,nan
1,2018-07-06,0.9996,0.9996,-0.04,封闭期,封闭期,nan
2,2018-07-13,1.0173,1.0173,,封闭期,封闭期,nan
3,2018-07-20,1.0209,1.0209,,封闭期,封闭期,nan
4,2018-07-27,1.0252,1.0252,,封闭期,封闭期,nan
5,2018-08-02,0.9976,0.9976,,封闭期,封闭期,nan
6,2018-08-03,0.9861,0.9861,-1.15,限制大额申购,开放赎回,nan
7,2018-08-06,0.9727,0.9727,-1.36,限制大额申购,开放赎回,nan
8,2018-08-07,0.9849,0.9849,1.25,限制大额申购,开放赎回,nan
9,2018-08-08,0.9702,0.9702,-1.49,限制大额申购,开放赎回,nan
10,2018-08-09,0.9891,0.9891,1.95,限制大额申购,开放赎回,nan
11,2018-08-10,0.9917,0.9917,0.26,限制大额申购,开放赎回,nan
12,2018-08-13,0.9856,0.9856,-0.62,限制大额申购,开放赎回,nan
13,2018-08-14,0.9796,0.9796,-0.61,限制大额申购,开放赎回,nan
14,2018-08-15,0.9522,0.9522,-2.8,限制大额申购,开放赎回,nan
15,2018-08-16,0.9391,0.9391,-1.38,限制大额申购,开放赎回,nan
16,2018-08-17,0.9312,0.9312,-0.84,限制大额申购,开放赎回,nan
17,2018-08-20,0.9413,0.9413,1.08,限制大额申购,开放赎回,nan
18,2018-08-21,0.9625,0.9625,2.25,限制大额申购,开放赎回,nan
19,2018-08-22,0.9564,0.9564,-0.63,限制大额申购,开放赎回,nan
20,2018-08-23,0.957,0.957,0.06,限制大额申购,开放赎回,nan
21,2018-08-24,0.9549,0.9549,-0.22,限制大额申购,开放赎回,nan
22,2018-08-27,0.981,0.981,2.73,限制大额申购,开放赎回,nan
23,2018-08-28,0.98,0.98,-0.1,限制大额申购,开放赎回,nan
24,2018-08-29,0.9751,0.9751,-0.5,限制大额申购,开放赎回,nan
25,2018-08-30,0.9709,0.9709,-0.43,限制大额申购,开放赎回,nan
26,2018-08-31,0.9617,0.9617,-0.95,限制大额申购,开放赎回,nan
27,2018-09-03,0.9601,0.9601,-0.17,限制大额申购,开放赎回,nan
28,2018-09-04,0.965,0.965,0.51,限制大额申购,开放赎回,nan
29,2018-09-05,0.9447,0.9447,-2.1,限制大额申购,开放赎回,nan
30,2018-09-06,0.9336,0.9336,-1.18,限制大额申购,开放赎回,nan
31,2018-09-07,0.9373,0.9373,0.4,限制大额申购,开放赎回,nan
32,2018-09-10,0.9232,0.9232,-1.5,限制大额申购,开放赎回,nan
33,2018-09-11,0.9179,0.9179,-0.57,限制大额申购,开放赎回,nan
34,2018-09-12,0.9037,0.9037,-1.55,限制大额申购,开放赎回,nan
35,2018-09-13,0.9145,0.9145,1.2,限制大额申购,开放赎回,nan
36,2018-09-14,0.9275,0.9275,1.42,限制大额申购,开放赎回,nan
37,2018-09-17,0.921,0.921,-0.7,限制大额申购,开放赎回,nan
38,2018-09-18,0.9418,0.9418,2.26,限制大额申购,开放赎回,nan
39,2018-09-19,0.9578,0.9578,1.7,限制大额申购,开放赎回,nan
40,2018-09-20,0.9556,0.9556,-0.23,暂停申购,暂停赎回,nan
41,2018-09-21,0.9842,0.9842,2.99,暂停申购,暂停赎回,nan
42,2018-09-26,0.9975,0.9975,,限制大额申购,开放赎回,nan
43,2018-09-27,0.9949,0.9949,-0.26,暂停申购,暂停赎回,nan
44,2018-09-28,1.0025,1.0025,0.76,暂停申购,暂停赎回,nan
45,2018-10-08,0.9543,0.9543,-4.81,限制大额申购,开放赎回,nan
46,2018-10-09,0.9536,0.9536,-0.07,限制大额申购,开放赎回,nan
47,2018-10-10,0.9359,0.9359,-1.86,限制大额申购,开放赎回,nan
48,2018-10-11,0.9063,0.9063,-3.16,限制大额申购,开放赎回,nan
49,2018-10-12,0.9225,0.9225,1.79,限制大额申购,开放赎回,nan
50,2018-10-15,0.9108,0.9108,-1.27,限制大额申购,开放赎回,nan
51,2018-10-16,0.9009,0.9009,-1.09,限制大额申购,开放赎回,nan
52,2018-10-18,0.8864,0.8864,,限制大额申购,开放赎回,nan
53,2018-10-19,0.9168,0.9168,3.43,限制大额申购,开放赎回,nan
