"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2021年8月10日","5,043.15","4,977.82","5,043.76","4,941.24","167.05K","1.16%"
"2021年8月9日","4,985.56","4,890.26","5,002.89","4,884.04","182.44K","1.30%"
"2021年8月6日","4,921.56","4,943.04","4,944.35","4,891.80","154.18K","-0.55%"
"2021年8月5日","4,948.67","4,946.17","4,997.14","4,921.94","167.38K","-0.61%"
"2021年8月4日","4,978.85","4,927.74","4,979.29","4,919.66","175.47K","0.90%"
"2021年8月3日","4,934.46","4,909.23","4,957.03","4,890.85","203.53K","0.01%"
"2021年8月2日","4,933.74","4,794.82","4,938.82","4,761.46","227.20K","2.55%"
"2021年7月30日","4,811.17","4,825.70","4,825.70","4,761.04","182.35K","-0.81%"
"2021年7月29日","4,850.27","4,845.76","4,857.97","4,800.01","173.32K","1.89%"
"2021年7月28日","4,760.48","4,714.29","4,785.66","4,663.90","192.63K","0.19%"
"2021年7月27日","4,751.31","4,924.28","4,940.86","4,749.03","236.63K","-3.53%"
"2021年7月26日","4,925.30","5,067.31","5,067.31","4,859.60","228.11K","-3.22%"
"2021年7月23日","5,089.23","5,145.43","5,145.43","5,080.00","216.54K","-1.21%"
"2021年7月22日","5,151.75","5,150.39","5,171.21","5,137.88","185.56K","0.15%"
"2021年7月21日","5,144.04","5,122.78","5,160.54","5,122.30","167.98K","0.69%"
"2021年7月20日","5,108.99","5,080.22","5,114.00","5,067.86","129.30K","-0.09%"
"2021年7月19日","5,113.49","5,083.73","5,120.82","5,047.62","153.20K","0.37%"
"2021年7月16日","5,094.77","5,140.90","5,140.90","5,090.63","169.96K","-1.10%"
"2021年7月15日","5,151.46","5,073.26","5,153.81","5,067.68","181.08K","1.35%"
"2021年7月14日","5,083.08","5,130.75","5,130.75","5,075.13","188.35K","-1.15%"
"2021年7月13日","5,142.10","5,128.61","5,154.05","5,114.94","166.48K","0.18%"
"2021年7月12日","5,132.71","5,108.38","5,159.41","5,070.32","206.21K","1.25%"
"2021年7月9日","5,069.44","5,063.15","5,081.41","5,006.41","160.65K","-0.37%"
"2021年7月8日","5,088.26","5,149.31","5,151.22","5,078.93","173.90K","-1.02%"
"2021年7月7日","5,140.49","5,052.42","5,152.77","5,045.41","148.55K","1.13%"
"2021年7月6日","5,083.10","5,089.78","5,092.21","5,028.51","140.66K","-0.05%"
"2021年7月5日","5,085.79","5,073.78","5,098.23","5,048.00","131.21K","0.09%"
"2021年7月2日","5,081.12","5,186.66","5,186.66","5,074.36","130.43K","-2.84%"
"2021年7月1日","5,229.66","5,241.20","5,252.26","5,190.88","127.24K","0.11%"
"2021年6月30日","5,224.04","5,189.38","5,231.43","5,186.63","103.75K","0.65%"
"2021年6月29日","5,190.54","5,248.52","5,248.52","5,182.68","125.16K","-1.17%"
"2021年6月28日","5,251.76","5,253.61","5,260.64","5,226.22","133.19K","0.23%"
"2021年6月25日","5,239.97","5,159.80","5,251.61","5,157.48","154.93K","1.63%"
"2021年6月24日","5,155.97","5,156.56","5,160.43","5,120.58","126.69K","0.17%"
