,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2017-01-03,1.097,1.097,0.46,开放申购,开放赎回,nan
1,2017-01-04,1.101,1.101,0.36,开放申购,开放赎回,nan
2,2017-01-05,1.1,1.1,-0.09,开放申购,开放赎回,nan
3,2017-01-06,1.097,1.097,-0.27,开放申购,开放赎回,nan
4,2017-01-09,1.101,1.101,0.36,开放申购,开放赎回,nan
5,2017-01-10,1.102,1.102,0.09,开放申购,开放赎回,nan
6,2017-01-11,1.102,1.102,0.0,开放申购,开放赎回,nan
7,2017-01-12,1.099,1.099,-0.27,开放申购,开放赎回,nan
8,2017-01-13,1.098,1.098,-0.09,开放申购,开放赎回,nan
9,2017-01-16,1.097,1.097,-0.09,开放申购,开放赎回,nan
10,2017-01-17,1.098,1.098,0.09,开放申购,开放赎回,nan
11,2017-01-18,1.1,1.1,0.18,开放申购,开放赎回,nan
12,2017-01-19,1.099,1.099,-0.09,开放申购,开放赎回,nan
13,2017-01-20,1.103,1.103,0.36,开放申购,开放赎回,nan
14,2017-01-23,1.106,1.106,0.27,开放申购,开放赎回,nan
15,2017-01-24,1.107,1.107,0.09,开放申购,开放赎回,nan
16,2017-01-25,1.109,1.109,0.18,开放申购,开放赎回,nan
17,2017-01-26,1.11,1.11,0.09,开放申购,开放赎回,nan
18,2017-02-03,1.107,1.107,-0.27,开放申购,开放赎回,nan
19,2017-02-06,1.106,1.106,-0.09,开放申购,开放赎回,nan
20,2017-02-07,1.105,1.105,-0.09,开放申购,开放赎回,nan
21,2017-02-08,1.106,1.106,0.09,开放申购,开放赎回,nan
22,2017-02-09,1.108,1.108,0.18,开放申购,开放赎回,nan
23,2017-02-10,1.11,1.11,0.18,开放申购,开放赎回,nan
24,2017-02-13,1.112,1.112,0.18,开放申购,开放赎回,nan
25,2017-02-14,1.112,1.112,0.0,开放申购,开放赎回,nan
26,2017-02-15,1.109,1.109,-0.27,开放申购,开放赎回,nan
27,2017-02-16,1.11,1.11,0.09,开放申购,开放赎回,nan
28,2017-02-17,1.109,1.109,-0.09,开放申购,开放赎回,nan
29,2017-02-20,1.116,1.116,0.63,开放申购,开放赎回,nan
30,2017-02-21,1.119,1.119,0.27,开放申购,开放赎回,nan
31,2017-02-22,1.121,1.121,0.18,开放申购,开放赎回,nan
32,2017-02-23,1.122,1.122,0.09,开放申购,开放赎回,nan
33,2017-02-24,1.125,1.125,0.27,开放申购,开放赎回,nan
34,2017-02-27,1.124,1.124,-0.09,开放申购,开放赎回,nan
35,2017-02-28,1.125,1.125,0.09,开放申购,开放赎回,nan
36,2017-03-01,1.126,1.126,0.09,开放申购,开放赎回,nan
37,2017-03-02,1.124,1.124,-0.18,开放申购,开放赎回,nan
38,2017-03-03,1.126,1.126,0.18,开放申购,开放赎回,nan
39,2017-03-06,1.131,1.131,0.44,开放申购,开放赎回,nan
40,2017-03-07,1.131,1.131,0.0,开放申购,开放赎回,nan
41,2017-03-08,1.128,1.128,-0.27,开放申购,开放赎回,nan
42,2017-03-09,1.126,1.126,-0.18,开放申购,开放赎回,nan
43,2017-03-10,1.128,1.128,0.18,开放申购,开放赎回,nan
44,2017-03-13,1.134,1.134,0.53,开放申购,开放赎回,nan
45,2017-03-14,1.134,1.134,0.0,开放申购,开放赎回,nan
46,2017-03-15,1.138,1.138,0.35,开放申购,开放赎回,nan
47,2017-03-16,1.142,1.142,0.35,开放申购,开放赎回,nan
48,2017-03-17,1.137,1.137,-0.44,开放申购,开放赎回,nan
49,2017-03-20,1.139,1.139,0.18,开放申购,开放赎回,nan
50,2017-03-21,1.142,1.142,0.26,开放申购,开放赎回,nan
51,2017-03-22,1.146,1.146,0.35,开放申购,开放赎回,nan
52,2017-03-23,1.149,1.149,0.26,开放申购,开放赎回,nan
53,2017-03-24,1.152,1.152,0.26,开放申购,开放赎回,nan
54,2017-03-27,1.149,1.149,-0.26,开放申购,开放赎回,nan
55,2017-03-28,1.147,1.147,-0.17,开放申购,开放赎回,nan
56,2017-03-29,1.148,1.148,0.09,开放申购,开放赎回,nan
57,2017-03-30,1.141,1.141,-0.61,开放申购,开放赎回,nan
58,2017-03-31,1.144,1.144,0.26,开放申购,开放赎回,nan
59,2017-04-05,1.152,1.152,0.7,开放申购,开放赎回,nan
60,2017-04-06,1.155,1.155,0.26,开放申购,开放赎回,nan
61,2017-04-07,1.156,1.156,0.09,开放申购,开放赎回,nan
62,2017-04-10,1.153,1.153,-0.26,开放申购,开放赎回,nan
63,2017-04-11,1.154,1.154,0.09,开放申购,开放赎回,nan
64,2017-04-12,1.155,1.155,0.09,开放申购,开放赎回,nan
65,2017-04-13,1.157,1.157,0.17,开放申购,开放赎回,nan
66,2017-04-14,1.148,1.148,-0.78,开放申购,开放赎回,nan
67,2017-04-17,1.149,1.149,0.09,开放申购,开放赎回,nan
68,2017-04-18,1.15,1.15,0.09,开放申购,开放赎回,nan
69,2017-04-19,1.152,1.152,0.17,开放申购,开放赎回,nan
70,2017-04-20,1.155,1.155,0.26,开放申购,开放赎回,nan
71,2017-04-21,1.152,1.152,-0.26,开放申购,开放赎回,nan
72,2017-04-24,1.147,1.147,-0.43,开放申购,开放赎回,nan
73,2017-04-25,1.156,1.156,0.78,开放申购,开放赎回,nan
74,2017-04-26,1.159,1.159,0.26,开放申购,开放赎回,nan
75,2017-04-27,1.16,1.16,0.09,开放申购,开放赎回,nan
76,2017-04-28,1.159,1.159,-0.09,开放申购,开放赎回,nan
77,2017-05-02,1.162,1.162,0.26,开放申购,开放赎回,nan
78,2017-05-03,1.159,1.159,-0.26,开放申购,开放赎回,nan
79,2017-05-04,1.16,1.16,0.09,开放申购,开放赎回,nan
80,2017-05-05,1.158,1.158,-0.17,开放申购,开放赎回,nan
81,2017-05-08,1.149,1.149,-0.78,开放申购,开放赎回,nan
82,2017-05-09,1.152,1.152,0.26,开放申购,开放赎回,nan
83,2017-05-10,1.15,1.15,-0.17,开放申购,开放赎回,nan
84,2017-05-11,1.155,1.155,0.43,开放申购,开放赎回,nan
85,2017-05-12,1.153,1.153,-0.17,开放申购,开放赎回,nan
86,2017-05-15,1.158,1.158,0.43,开放申购,开放赎回,nan
87,2017-05-16,1.166,1.166,0.69,开放申购,开放赎回,nan
88,2017-05-17,1.164,1.164,-0.17,开放申购,开放赎回,nan
89,2017-05-18,1.161,1.161,-0.26,开放申购,开放赎回,nan
90,2017-05-19,1.159,1.159,-0.17,开放申购,开放赎回,nan
91,2017-05-22,1.159,1.159,0.0,开放申购,开放赎回,nan
92,2017-05-23,1.156,1.156,-0.26,开放申购,开放赎回,nan
93,2017-05-24,1.158,1.158,0.17,开放申购,开放赎回,nan
94,2017-05-25,1.158,1.158,0.0,开放申购,开放赎回,nan
95,2017-05-26,1.157,1.157,-0.09,开放申购,开放赎回,nan
96,2017-05-31,1.158,1.158,0.09,开放申购,开放赎回,nan
97,2017-06-01,1.159,1.159,0.09,开放申购,开放赎回,nan
98,2017-06-02,1.159,1.159,0.0,开放申购,开放赎回,nan
99,2017-06-05,1.164,1.164,0.43,开放申购,开放赎回,nan
100,2017-06-06,1.169,1.169,0.43,开放申购,开放赎回,nan
101,2017-06-07,1.181,1.181,1.03,开放申购,开放赎回,nan
102,2017-06-08,1.187,1.187,0.51,开放申购,开放赎回,nan
103,2017-06-09,1.191,1.191,0.34,开放申购,开放赎回,nan
104,2017-06-12,1.188,1.188,-0.25,开放申购,开放赎回,nan
105,2017-06-13,1.19,1.19,0.17,开放申购,开放赎回,nan
106,2017-06-14,1.181,1.181,-0.76,开放申购,开放赎回,nan
107,2017-06-15,1.186,1.186,0.42,开放申购,开放赎回,nan
108,2017-06-16,1.185,1.185,-0.08,开放申购,开放赎回,nan
109,2017-06-19,1.191,1.191,0.51,开放申购,开放赎回,nan
110,2017-06-20,1.193,1.193,0.17,开放申购,开放赎回,nan
111,2017-06-21,1.205,1.205,1.01,开放申购,开放赎回,nan
112,2017-06-22,1.2,1.2,-0.41,开放申购,开放赎回,nan
113,2017-06-23,1.206,1.206,0.5,开放申购,开放赎回,nan
114,2017-06-26,1.215,1.215,0.75,开放申购,开放赎回,nan
115,2017-06-27,1.218,1.218,0.25,开放申购,开放赎回,nan
116,2017-06-28,1.21,1.21,-0.66,开放申购,开放赎回,nan
117,2017-06-29,1.218,1.218,0.66,开放申购,开放赎回,nan
